ma_giao_dich,gia_tri_giao_dich,so_san_pham,kenh_ban,diem_tin_cay,ma_chi_nhanh
GD-1-000,1200000,1,Cửa hàng,500,CN-00
GD-1-001,1275000,2,Website,501,CN-01
GD-1-002,1350000,3,Website,502,CN-02
GD-1-003,1425000,4,Website,503,CN-03
GD-1-004,1500000,5,Website,504,CN-00
GD-1-005,1575000,6,Cửa hàng,505,CN-01
GD-1-006,1650000,7,Website,506,CN-02
GD-1-007,1725000,1,Website,507,CN-03
GD-1-008,1800000,2,Website,508,CN-00
GD-1-009,1875000,3,Website,509,CN-01
GD-1-010,1950000,4,Cửa hàng,510,CN-02
GD-1-011,2025000,5,Website,511,CN-03
GD-1-012,2100000,6,Website,512,CN-00
GD-1-013,2175000,7,Website,513,CN-01
GD-1-014,2250000,1,Website,514,CN-02
GD-1-015,2325000,2,Cửa hàng,515,CN-03
GD-1-016,1200000,3,Website,516,CN-00
GD-1-017,1275000,4,Website,517,CN-01
GD-1-018,1350000,5,Website,518,CN-02
GD-1-019,1425000,6,Website,519,CN-03
GD-1-020,1500000,7,Cửa hàng,520,CN-00
GD-1-021,1575000,1,Website,521,CN-01
GD-1-022,1650000,2,Website,522,CN-02
GD-1-023,1725000,3,Website,523,CN-03
GD-1-024,1800000,4,Website,524,CN-00
GD-1-025,1875000,5,Cửa hàng,525,CN-01
GD-1-026,1950000,6,Website,526,CN-02
GD-1-027,2025000,7,Website,527,CN-03
GD-1-028,2100000,1,Website,528,CN-00
GD-1-029,2175000,2,Website,529,CN-01
GD-1-030,2250000,3,Cửa hàng,530,CN-02
GD-1-031,2325000,4,Website,531,CN-03
GD-1-032,1200000,5,Website,532,CN-00
GD-1-033,1275000,6,Website,533,CN-01
GD-1-034,1350000,7,Website,534,CN-02
GD-1-035,1425000,1,Cửa hàng,535,CN-03
GD-1-036,1500000,2,Website,536,CN-00
GD-1-037,1575000,3,Website,537,CN-01
GD-1-038,1650000,4,Website,538,CN-02
GD-1-039,1725000,5,Website,539,CN-03
GD-1-040,1800000,6,Cửa hàng,540,CN-00
GD-1-041,1875000,7,Website,541,CN-01
GD-1-042,1950000,1,Website,542,CN-02
GD-1-043,2025000,2,Website,543,CN-03
GD-1-044,2100000,3,Website,544,CN-00
GD-1-045,2175000,4,Cửa hàng,545,CN-01
GD-1-046,2250000,5,Website,546,CN-02
GD-1-047,2325000,6,Website,547,CN-03
GD-1-048,1200000,7,Website,548,CN-00
GD-1-049,1275000,1,Website,549,CN-01
GD-1-050,1350000,2,Cửa hàng,550,CN-02
GD-1-051,1425000,3,Website,551,CN-03
GD-1-052,1500000,4,Website,552,CN-00
GD-1-053,1575000,5,Website,553,CN-01
GD-1-054,1650000,6,Website,554,CN-02
GD-1-055,1725000,7,Cửa hàng,555,CN-03
GD-1-056,1800000,1,Website,556,CN-00
GD-1-057,1875000,2,Website,557,CN-01
GD-1-058,1950000,3,Website,558,CN-02
GD-1-059,2025000,4,Website,559,CN-03
GD-1-060,2100000,5,Cửa hàng,560,CN-00
GD-1-061,2175000,6,Website,561,CN-01
GD-1-062,2250000,7,Website,562,CN-02
GD-1-063,2325000,1,Website,563,CN-03
GD-1-064,1200000,2,Website,564,CN-00
GD-1-065,1275000,3,Cửa hàng,565,CN-01
GD-1-066,1350000,4,Website,566,CN-02
GD-1-067,1425000,5,Website,567,CN-03
GD-1-068,1500000,6,Website,568,CN-00
GD-1-069,1575000,7,Website,569,CN-01
GD-1-070,1650000,1,Cửa hàng,500,CN-02
GD-1-071,1725000,2,Website,501,CN-03
GD-1-072,1800000,3,Website,502,CN-00
GD-1-073,1875000,4,Website,503,CN-01
GD-1-074,1950000,5,Website,504,CN-02
GD-1-075,2025000,6,Cửa hàng,505,CN-03
GD-1-076,2100000,7,Website,506,CN-00
GD-1-077,2175000,1,Website,507,CN-01
GD-1-078,2250000,2,Website,508,CN-02
GD-1-079,2325000,3,Website,509,CN-03
